ticker,date,time,title,compound,pos,neu,neg
AAPL,2025-05-13,09:15AM,Apple Hopes Thinner iPhone 17 Air Provides the Boost It Needs. Samsung Got There First.,0.6705,0.297,0.703,0.0
AAPL,2025-05-13,09:16AM,Why Apple (AAPL) International Revenue Trends Deserve Your Attention,0.0,0.0,1.0,0.0
AAPL,2025-05-13,09:18AM,"Stock Market News for May 13, 2025",0.0,0.0,1.0,0.0
AAPL,2025-05-13,09:34AM,Apple introduces new accessibility features including braille note taker,0.0,0.0,1.0,0.0
AAPL,2025-05-13,09:58AM,Apple's iPhone Price Hike Gamble: Will Consumers Pay Up Amid Tariff Turmoil?,-0.4404,0.0,0.719,0.281
AAPL,2025-05-13,10:03AM,"Analyst, Consultant Clash on Apple Inc. (AAPL) Stock",0.0,0.0,1.0,0.0
AAPL,2025-05-13,10:54AM,"CPI print is 'a yawn,' signaling data is holding up despite tariffs",0.0,0.0,1.0,0.0
AAPL,2025-05-13,11:36AM,Perplexity AI valuation climbs to $14B in funding round: WSJ,0.0,0.0,1.0,0.0
AAPL,2025-05-13,12:05PM,Well-Known Investor Defends Alphabet Inc. (GOOGL) Stock,0.0,0.0,1.0,0.0
AAPL,2025-05-13,12:07PM,"How NVDA, AAPL, and META Plan to Harness VR to Dominate the Future",-0.128,0.0,0.889,0.111
AAPL,2025-05-13,12:20PM,"Nvidia stock surges 5%, company rejoins $3 trillion club amid flurry of trade news",0.0,0.0,1.0,0.0
AAPL,2025-05-13,12:22PM,USChina deal is a 'dream scenario' for Apple and Nvidia,0.25,0.2,0.8,0.0
AAPL,2025-05-13,12:22PM,Is the Fed on the Right Track?,0.0,0.0,1.0,0.0
AAPL,2025-05-13,12:30AM,Traders Slash RBA Easing Bets as US-China De-Escalate on Tariffs,-0.0258,0.165,0.661,0.174
AAPL,2025-05-13,12:43PM,ChatGPT: Everything you need to know about the AI-powered chatbot,0.0,0.0,1.0,0.0
AMD,2025-05-07,01:36PM,AMD CEO Lisa Su on tariff impact: We are confident consumers are not making short-term decisions now,0.4939,0.167,0.833,0.0
AMD,2025-05-07,02:24PM,Nvidia Climbs as AMD's CEO Declares AI Boom 'Unstoppable,-0.2023,0.0,0.816,0.184
AMD,2025-05-07,02:36PM,AMD CEO Lisa Su on AI: There's no question that we have to have safeguards,0.0516,0.136,0.739,0.125
AMD,2025-05-07,02:38PM,AMD's Price Target Slashed by Bank Amid Multiple Concerns,-0.2263,0.0,0.808,0.192
AMD,2025-05-07,02:47PM,"These Stocks Are Moving the Most Today: Alphabet, Super Micro, Marvell, Disney, Uber, Arista, Sarepta, Charles River, and More",0.6326,0.188,0.812,0.0
AMD,2025-05-07,03:11PM,Super Micro Computer Q3 Earnings Review: Uninvestable Might Be An Understatement,0.5994,0.281,0.719,0.0
AMD,2025-05-07,03:54PM,"Trump administration set to end export curb controls, end AI Diffusion rule: report",0.0,0.0,1.0,0.0
AMD,2025-05-07,04:11PM,Nvidia Stock Leaps on Report Trump Will Relax AI Chip Export Curbs,0.4404,0.209,0.791,0.0
AMD,2025-05-07,04:25PM,What AMD's Earnings Could Mean for Nvidia,0.0,0.0,1.0,0.0
AMD,2025-05-07,04:30PM,AMD to Host Annual Meeting of Stockholders,0.0,0.0,1.0,0.0
AMD,2025-05-07,04:43PM,"These Stocks Moved the Most Today: Alphabet, Nvidia, Super Micro, Marvell, Disney, Uber, Arista, Sarepta, Charles River, and More",0.5994,0.178,0.822,0.0
AMD,2025-05-07,05:25PM,"Wall Street Lunch: Fed Holds Rates, In No Hurry To Cut",-0.5106,0.0,0.677,0.323
AMD,2025-05-07,07:00PM,Trump Looks To Repeal Biden Chip-Export Curbs Set To Take Effect Soon,0.0,0.0,1.0,0.0
AMD,2025-05-07,07:17PM,Tracking Baillie Gifford's 13F Portfolio - Q1 2025 Update,0.0,0.0,1.0,0.0
AMD,2025-05-07,08:59AM,Nvidia Stock Is Rising. Why It Got an AMD and Super Micro Earnings Boost.,0.765,0.355,0.645,0.0
AMD,2025-05-07,09:01AM,Why Some Wall Street Analysts Are Concerned About AMD's AI Revenue Despite Strong Results,-0.4023,0.0,0.828,0.172
AMD,2025-05-07,09:05AM,Q1 2025 Advanced Micro Devices Inc Earnings Call,0.25,0.222,0.778,0.0
